,,shift,3.894646498,TCTemp3
30.208,19.00921386,19.90198301,20.84014191,24.7347884
30.307,18.98298952,20.05071682,21.58930935,25.48395584
30.407,19.03758768,20.21337602,22.06308544,25.95773194
30.506,18.96769859,20.07665395,21.24361833,25.13826483
30.608,18.98169312,19.96017687,20.47128047,24.36592697
30.707,18.95988766,19.96243369,20.59389991,24.48854641
30.807,19.06650364,20.09953565,21.51449936,25.40914586
30.908,19.07815328,20.01881322,22.40342016,26.29806666
31.007,19.01544579,19.86537193,20.83100073,24.72564723
31.14,19.05395135,20.06733726,19.63459013,23.52923663
31.206,18.94055603,20.01430379,20.76137042,24.65601692
31.307,19.07345753,19.91375663,20.73144634,24.62609283
31.408,19.02732746,19.9811677,20.35400121,24.24864771
31.507,19.04041704,20.12171102,20.76780106,24.66244755
31.607,18.99794269,20.16188411,21.02857522,24.92322172
31.708,19.0419617,20.08424945,21.02575929,24.92040579
31.807,19.08137309,19.60436194,20.42879683,24.32344333
31.907,19.03059007,19.63860676,20.81576018,24.71040668
32.006,19.00017994,20.26660451,21.45787706,25.35252355
32.107,19.02552089,20.03918519,20.74529592,24.63994242
32.208,18.98948996,19.56197255,20.61783854,24.51248504
32.306,19.02302694,19.58086382,21.06054863,24.95519512
32.407,19.00165318,19.76932144,21.13038742,25.02503392
32.508,19.07157182,19.95343431,20.88977946,24.78442596
32.607,18.98256617,19.90998374,20.66463509,24.55928159
32.707,19.00327235,19.95136324,20.19719759,24.09184409
32.808,19.05158446,19.90450438,21.29402107,25.18866757
32.907,18.99867653,19.7776808,21.24654221,25.14118871
33.008,18.87976376,19.93944748,19.65096961,23.54561611
33.118,19.00925741,20.02766165,20.87158355,24.76623005
33.218,19.01370645,19.9520016,22.54431067,26.43895717
33.308,18.89379635,19.87175421,22.22416088,26.11880738
33.406,18.91526866,19.89152212,20.80287533,24.69752182
33.507,18.99254841,19.79069158,20.3228579,24.2175044
33.608,18.956327,20.10925153,21.58508438,25.47973088
33.707,19.01095129,20.1399898,21.96318389,25.85783039
33.807,18.95032815,19.76322569,21.67215804,25.56680454
33.908,18.9448144,20.03529779,21.706826,25.6014725
34.007,19.00790545,20.19100633,21.05399335,24.94863984
34.108,19.02006417,19.90858849,20.70678342,24.60142991
34.206,18.92688145,19.77537317,21.29358183,25.18822833
34.307,19.02531108,20.04376263,21.63320834,25.52785484
34.408,19.00420597,20.3536306,21.62844661,25.52309311
34.507,18.96759005,20.0236967,21.78527201,25.6799185
34.607,18.93664591,19.77761358,20.56615149,24.46079799
34.708,19.04178586,19.9936653,20.7976572,24.6923037
34.807,19.05406277,20.15295165,21.95958909,25.85423559
34.907,18.9528246,20.17263964,20.99632526,24.89097176
35.008,18.89650105,20.16437408,20.18807257,24.08271906
35.108,19.01057818,20.01487152,20.70976302,24.60440952
35.208,19.00588788,19.97046905,21.42298794,25.31763444
35.306,19.02307463,20.11274157,21.32592668,25.22057318
35.407,19.0510208,19.88434781,20.76332263,24.65796913
35.508,18.98066121,19.9489717,21.51191236,25.40655886
35.607,18.97368661,20.16113406,22.05212997,25.94677647
35.707,18.91507504,19.7863552,21.09348648,24.98813297
35.808,18.95304,19.76646088,20.14809771,24.04274421
